"key","rt","id","sex","age","ids","idx","comparison","condition","left","correctness","condition_vis","file_name"
"f",1.2495,"60e744cb828b0b3d21466737","female",37,3,0,"series_1",0,"series_1",1,"visible","PARTICIPANT_rantool2_2021-07-13_15h19.45.355.csv"
"f",1.5003,"60e744cb828b0b3d21466737","female",37,55,1,"series_0",0,"series_0",1,"visible","PARTICIPANT_rantool2_2021-07-13_15h19.45.355.csv"
"j",0.9684,"60e744cb828b0b3d21466737","female",37,2,2,"series_1",0,"series_0",1,"visible","PARTICIPANT_rantool2_2021-07-13_15h19.45.355.csv"
"f",0.9502,"60e744cb828b0b3d21466737","female",37,43,3,"series_1",0,"series_0",0,"visible","PARTICIPANT_rantool2_2021-07-13_15h19.45.355.csv"
"f",1.1719,"60e744cb828b0b3d21466737","female",37,34,4,"series_1",0,"series_0",0,"visible","PARTICIPANT_rantool2_2021-07-13_15h19.45.355.csv"
"f",1.0024,"60e744cb828b0b3d21466737","female",37,36,5,"series_0",0,"series_1",0,"visible","PARTICIPANT_rantool2_2021-07-13_15h19.45.355.csv"
"j",0.842,"60e744cb828b0b3d21466737","female",37,13,6,"series_1",0,"series_1",0,"visible","PARTICIPANT_rantool2_2021-07-13_15h19.45.355.csv"
"j",0.8674,"60e744cb828b0b3d21466737","female",37,19,7,"series_1",0,"series_0",1,"visible","PARTICIPANT_rantool2_2021-07-13_15h19.45.355.csv"
"j",1.1178,"60e744cb828b0b3d21466737","female",37,5,8,"series_1",0,"series_1",0,"visible","PARTICIPANT_rantool2_2021-07-13_15h19.45.355.csv"
"f",0.8832,"60e744cb828b0b3d21466737","female",37,27,9,"series_1",0,"series_0",0,"visible","PARTICIPANT_rantool2_2021-07-13_15h19.45.355.csv"
"f",0.9183,"60e744cb828b0b3d21466737","female",37,40,10,"series_1",0,"series_0",0,"visible","PARTICIPANT_rantool2_2021-07-13_15h19.45.355.csv"
"f",0.851,"60e744cb828b0b3d21466737","female",37,35,11,"series_1",0,"series_0",0,"visible","PARTICIPANT_rantool2_2021-07-13_15h19.45.355.csv"
"f",0.9653,"60e744cb828b0b3d21466737","female",37,45,12,"series_1",0,"series_1",1,"visible","PARTICIPANT_rantool2_2021-07-13_15h19.45.355.csv"
"j",0.5873,"60e744cb828b0b3d21466737","female",37,24,13,"series_1",0,"series_1",0,"visible","PARTICIPANT_rantool2_2021-07-13_15h19.45.355.csv"
"f",0.6175,"60e744cb828b0b3d21466737","female",37,53,14,"series_1",0,"series_1",1,"visible","PARTICIPANT_rantool2_2021-07-13_15h19.45.355.csv"
"j",0.8679,"60e744cb828b0b3d21466737","female",37,1,15,"series_1",0,"series_0",1,"visible","PARTICIPANT_rantool2_2021-07-13_15h19.45.355.csv"
"f",0.6226,"60e744cb828b0b3d21466737","female",37,58,16,"series_0",0,"series_0",1,"visible","PARTICIPANT_rantool2_2021-07-13_15h19.45.355.csv"
"j",1.0769,"60e744cb828b0b3d21466737","female",37,7,17,"series_1",0,"series_0",1,"visible","PARTICIPANT_rantool2_2021-07-13_15h19.45.355.csv"
"f",0.7342,"60e744cb828b0b3d21466737","female",37,60,18,"series_1",0,"series_0",0,"visible","PARTICIPANT_rantool2_2021-07-13_15h19.45.355.csv"
"j",0.8674,"60e744cb828b0b3d21466737","female",37,11,19,"series_1",0,"series_0",1,"visible","PARTICIPANT_rantool2_2021-07-13_15h19.45.355.csv"
"j",0.888,"60e744cb828b0b3d21466737","female",37,9,20,"series_1",0,"series_1",0,"visible","PARTICIPANT_rantool2_2021-07-13_15h19.45.355.csv"
"j",0.8168,"60e744cb828b0b3d21466737","female",37,4,21,"series_1",0,"series_1",0,"visible","PARTICIPANT_rantool2_2021-07-13_15h19.45.355.csv"
"f",0.4508,"60e744cb828b0b3d21466737","female",37,37,22,"series_1",0,"series_1",1,"visible","PARTICIPANT_rantool2_2021-07-13_15h19.45.355.csv"
"j",0.9006,"60e744cb828b0b3d21466737","female",37,26,23,"series_0",0,"series_1",1,"visible","PARTICIPANT_rantool2_2021-07-13_15h19.45.355.csv"
"f",0.7015,"60e744cb828b0b3d21466737","female",37,52,24,"series_0",0,"series_0",1,"visible","PARTICIPANT_rantool2_2021-07-13_15h19.45.355.csv"
"j",0.6935,"60e744cb828b0b3d21466737","female",37,0,25,"series_1",0,"series_1",0,"visible","PARTICIPANT_rantool2_2021-07-13_15h19.45.355.csv"
"f",0.752,"60e744cb828b0b3d21466737","female",37,46,26,"series_0",0,"series_0",1,"visible","PARTICIPANT_rantool2_2021-07-13_15h19.45.355.csv"
"j",0.689,"60e744cb828b0b3d21466737","female",37,22,27,"series_0",0,"series_1",1,"visible","PARTICIPANT_rantool2_2021-07-13_15h19.45.355.csv"
"j",0.9835,"60e744cb828b0b3d21466737","female",37,14,28,"series_0",0,"series_0",0,"visible","PARTICIPANT_rantool2_2021-07-13_15h19.45.355.csv"
"j",0.6872,"60e744cb828b0b3d21466737","female",37,15,29,"series_0",0,"series_0",0,"visible","PARTICIPANT_rantool2_2021-07-13_15h19.45.355.csv"
