"","session_id","participant_id","status","started_datetime","completed_date_time","time_taken","age","num_approvals","num_rejections","prolific_score","reviewed_at_datetime","entered_code","Country.of.Birth","Current.Country.of.Residence","Employment.Status","First.Language","Nationality","Sex","Student.Status"
"1","60eddeb47d7f4567fc9e5283","601932869840a20268369a6f","APPROVED","2021-07-13 18:43:04.624000","2021-07-13 18:50:44.959000",460.335,22,20,1,98,"2021-07-14 10:51:17.982000","89221FCB","Poland","Poland","DATA EXPIRED","Polish","Poland","Male","DATA EXPIRED"
"2","60ede2186b1efe40c7f3c80e","5e8cad3983d0c80526afc101","APPROVED","2021-07-13 18:57:28.343000","2021-07-13 19:04:41.055000",432.712,18,87,2,99,"2021-07-14 10:51:16.453000","89221FCB","Poland","Poland","DATA EXPIRED","Polish","Poland","Male","DATA EXPIRED"
"3","60ede27be4329ef90aec1bf5","60edc5413f27692d6f988b35","APPROVED","2021-07-13 18:59:12.419000","2021-07-13 19:07:00.451000",468.032,22,6,0,100,"2021-07-14 10:51:14.723000","89221FCB","Poland","Poland","DATA EXPIRED","Polish","Poland","Female","DATA EXPIRED"
"4","60ede34daba779027751d565","5d03903f49c5dd00195ebc71","APPROVED","2021-07-13 19:02:39.664000","2021-07-13 19:11:45.164000",545.5,22,27,0,100,"2021-07-14 10:51:12.959000","89221FCB","Poland","Poland","DATA EXPIRED","Polish","Poland","Male","DATA EXPIRED"
"5","60ede371d734d3c9fd8d7691","60edbdf42216cc299770590c","APPROVED","2021-07-13 19:05:14.666000","2021-07-13 19:13:22.728000",488.062,22,28,1,97,"2021-07-14 10:50:59.779000","89221FCB","Poland","Poland","DATA EXPIRED","Polish","Poland","Male","DATA EXPIRED"
"6","60ede39ab32658e2694405a7","5d4a7ebbb7802400186c6b85","RETURNED","2021-07-13 19:03:58.857000","",20023437.552739,28,70,0,100,"","","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED"
"7","60ede3a46518486a1a1f995f","60e96b12a9bf38cf4eb19c56","APPROVED","2021-07-13 19:04:08.791000","2021-07-13 19:22:33.625000",1104.834,19,50,1,100,"2021-07-14 10:55:20.226000","89221FCB","Poland","Poland","Other","Polish","Poland","Female","Yes"
"8","60ede4135fa4234b47dd0b54","5f1d7a21e7033b0008245fb8","APPROVED","2021-07-13 19:06:07.746000","2021-07-13 19:14:20.281000",492.535,23,78,0,100,"2021-07-14 10:50:58.161000","89221FCB","Poland","Poland","Part-Time","Polish","Poland","Female","DATA EXPIRED"
"9","60ede440630b1f96a36d4d91","60edab8a3f60c5904187ffc4","APPROVED","2021-07-13 19:06:49.435000","2021-07-13 19:15:59.713000",550.278,33,106,1,100,"2021-07-14 10:50:56.839000","89221FCB","Poland","Poland","Full-Time","Polish","Poland","Male","No"
"10","60ede45261090ce7139a7565","600af03c0d68920aa2d0b911","RETURNED","2021-07-13 19:06:58.166000","",20023258.317519,NA,55,0,100,"","","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED"
