"id","correct_digits","absolute_correct_simple","partial_correct_simple","capacity_simple","absolute_correct_complex","partial_correct_complex","capacity_complex"
"564e2f979b124900107eaf14",0.949152542372881,4,11,7,4,6,8
"5a958d78f05361000171c54c",0.898305084745763,3,9,6,4,6,8
"5afeeff06369280001700225",0.888888888888889,5,11,7,4,5,7
"5b50677cc5e0cb0001bda255",1,5,12,8,9,11,13
"5b8646582c180900019c9eb7",0.76,3,8,6,3,3,5
"5b94d723839c0a00010f88d9",0.944444444444444,4,11,7,5,5,7
"5b98223fbdb1df0001f1e684",0.925,3,6,5,4,5,7
"5b9e401bf074140001051957",0.954545454545455,2,16,10,2,3,5
"5ba4d6c929629d00014e6c28",0.970588235294118,3,7,5,2,4,6
"5bb8b7cc56161d0001002faa",0.962962962962963,4,8,6,4,4,6
"5bc5fa5248576300014e0739",0.838709677419355,5,10,7,4,4,6
"5bc9abc0777400000169f73e",0.787878787878788,4,11,7,4,4,6
"5bcd6ea508a62c0001f8c85a",0.974683544303797,6,13,8,6,8,10
"5be1c7de91deed00015a97b9",0.968253968253968,5,13,8,6,7,9
"5bf801e3361a9b00012654c5",0.896551724137931,5,11,7,4,4,6
"5c33496ec75f190001e7ed92",0.703703703703704,4,12,8,3,3,5
"5c4236103be7b70001fd01c5",0.904761904761905,6,14,9,9,9,11
"5c4b42666634320001598ff4",0.971428571428571,4,9,6,5,5,7
"5c51dd37c91d1100017760b8",0.950980392156863,5,11,7,6,9,11
"5c62fb7c0ee07c00012604f8",0.8,3,7,5,0,0,2
"5c6d938c79151c00017c7560",0.888888888888889,5,12,8,4,5,7
"5c8bb229b0b5510016a92910",0.928571428571429,4,10,7,4,4,6
"5c9b0d631c8e140014d19fc5",1,5,11,7,5,6,8
"5cb0b3a61a9e59001571df04",0.95,4,8,6,3,3,5
"5cb6d6608f7ee10016e5abd7",0.946428571428571,9,25,14,7,7,9
"5cb72e7625f45e0017c31287",0.958333333333333,6,13,8,10,12,14
"5cebae5b2e4f1700012a915a",0.842105263157895,4,10,7,1,2,4
"5d0e74d6c26b9e001a6b9def",0.944444444444444,4,8,6,5,5,7
"5d0f4380e0392a00170d8def",0.951388888888889,2,7,5,20,20,22
"5d3739be575c6c000151d88f",0.935483870967742,3,10,7,3,4,6
"5d39c0babc321100010a4526",0.903846153846154,1,10,7,5,6,8
"5d40a12f4994c40001e4b80c",0.977272727272727,5,11,7,6,6,8
"5d459d56cb2c450019293bd0",1,2,9,6,1,1,3
"5d45c90c810cac00191bc1e0",0.980769230769231,4,12,8,6,9,11
"5d585e287d795e001788bf4c",0.95,3,8,6,3,3,5
"5dac841d79d2ea001600357e",0.743589743589744,3,9,6,3,4,6
"5dafea4de40355001651fa2f",0.93939393939394,3,8,6,3,4,6
"5db1db20830742000a4470b4",0.983606557377049,5,12,8,6,7,9
"5dc33f755cb36e260a5598c0",0.959183673469388,3,10,7,5,6,8
"5dcec3fa946f7c000b1b7c74",0.981481481481482,7,23,13,7,7,9
"5de52f36a91be34a4ea35c71",0.888888888888889,4,14,9,4,5,7
"5dffb7505cc380bf9945baf6",0.918918918918919,3,8,6,5,5,7
"5e04595a4fa02aefdb9c9ced",0.975609756097561,5,10,7,4,5,7
